,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
1446,08/02/2021,49045,31,Tooele County,UT,39.9,28859,28857,50.4,26623,54.3,5617,83.2,97.1,33846.0,46.8,33835.0,59.1,30771.0,62.8,6219.0,92.2,Low-Mod,Low-Mod VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
1447,08/02/2021,47069,31,Hardeman County,TN,32.2,8056,8056,36.7,7930,39.1,3081,66.3,97.8,9499.0,37.9,9497.0,43.3,9269.0,45.7,3490.0,75.1,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
1448,08/02/2021,29133,31,Mississippi County,MO,31.7,4182,4182,36.6,4150,39.8,1521,63.6,90.8,4892.0,37.1,4892.0,42.9,4828.0,46.3,1781.0,74.4,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
1449,08/02/2021,48279,31,Lamb County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,,,,
1450,08/02/2021,48319,31,Mason County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Mod,,,,
1451,08/02/2021,21025,31,Breathitt County,KY,35.0,4424,4424,40.6,4299,43.0,1433,64.0,93.4,4925.0,39.0,4925.0,45.2,4763.0,47.6,1550.0,69.2,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
1452,08/02/2021,37137,31,Pamlico County,NC,45.1,5739,5738,49.7,5673,52.5,3017,78.0,96.3,6595.0,51.8,6587.0,57.1,6490.0,60.1,3219.0,83.3,Mod-High,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
1453,08/02/2021,06041,31,Marin County,CA,73.6,190423,189584,83.4,174093,83.9,51311,86.4,97.3,208973.0,80.7,207861.0,91.4,190914.0,92.0,55853.0,94.0,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
1454,08/02/2021,28091,31,Marion County,MS,27.8,6842,6842,32.7,6737,35.5,2947,62.0,98.3,7835.0,31.9,7835.0,37.4,7639.0,40.3,3183.0,67.0,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
1455,08/02/2021,01011,31,Bullock County,AL,34.7,3501,3501,40.3,3420,42.8,1183,69.1,91.8,4496.0,44.5,4494.0,51.8,4346.0,54.4,1395.0,81.5,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
1456,08/02/2021,48293,31,Limestone County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,,,,
1457,08/02/2021,38027,31,Eddy County,ND,43.1,985,985,51.1,959,54.8,421,77.8,95.1,1049.0,45.9,1049.0,54.5,1018.0,58.1,439.0,81.1,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
